overs,score,Batsman,Non-Strike Batsman,Bowler,Runs
9.3,94/2,MC Henriques,NV Ojha,STR Binny,single
9.4,95/2,NV Ojha,MC Henriques,STR Binny,single
9.5,96/2,MC Henriques,NV Ojha,STR Binny,no runs
10.0,96/2,NV Ojha,MC Henriques,YS Chahal,four runs!
10.1,100/2,NV Ojha,MC Henriques,YS Chahal,no runs
10.2,100/2,NV Ojha,MC Henriques,YS Chahal,six!!
10.3,106/2,NV Ojha,MC Henriques,YS Chahal,single
10.4,107/2,MC Henriques,NV Ojha,YS Chahal,six!!
10.5,113/2,MC Henriques,NV Ojha,YS Chahal,out
11.0,113/3,NV Ojha,DJ Hooda,AF Milne,four runs!
11.1,117/3,NV Ojha,DJ Hooda,AF Milne,extra
11.1,118/3,NV Ojha,DJ Hooda,AF Milne,single
11.2,119/3,DJ Hooda,NV Ojha,AF Milne,single
11.3,120/3,NV Ojha,DJ Hooda,AF Milne,four runs!
11.4,124/3,NV Ojha,DJ Hooda,AF Milne,no runs
11.5,124/3,NV Ojha,DJ Hooda,AF Milne,single
12.0,125/3,NV Ojha,DJ Hooda,HV Patel,out
12.1,125/4,EJG Morgan,DJ Hooda,HV Patel,single
12.2,126/4,DJ Hooda,EJG Morgan,HV Patel,single
12.3,127/4,EJG Morgan,DJ Hooda,HV Patel,single
12.4,128/4,DJ Hooda,EJG Morgan,HV Patel,no runs
12.5,128/4,DJ Hooda,EJG Morgan,HV Patel,no runs
13.0,128/4,EJG Morgan,DJ Hooda,Parvez Rasool,single
13.1,129/4,DJ Hooda,EJG Morgan,Parvez Rasool,single
13.2,130/4,EJG Morgan,DJ Hooda,Parvez Rasool,no runs
13.3,130/4,EJG Morgan,DJ Hooda,Parvez Rasool,single
13.4,131/4,DJ Hooda,EJG Morgan,Parvez Rasool,single
13.5,132/4,EJG Morgan,DJ Hooda,Parvez Rasool,four runs!
14.0,136/4,DJ Hooda,EJG Morgan,STR Binny,no runs
14.1,136/4,DJ Hooda,EJG Morgan,STR Binny,four runs!
14.2,140/4,DJ Hooda,EJG Morgan,STR Binny,extra
